,Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Google Rating,Yelp Rating
10952,Jets Pizza,78723,2024-02-29,90,"1201 BARBARA JORDAN BLVD
AUSTIN, TX 78723
(30.30659, -97.71029)",12399125,4.4,4.2
14282,Capital Kitchens,78745,2024-11-13,100,"1606 W STASSNEY LN
AUSTIN, TX 78745
(30.2137, -97.79283)",12186506,4.6,5
16087,Higher Ground,78701,2024-07-31,73,"720 CONGRESS AVE
AUSTIN, TX 78701
(30.2697, -97.7422)",12394443,4.4,3.9
21510,Original Pancake House,78727,2024-10-15,95,"1700 W PARMER LN
AUSTIN, TX 78727
(30.41327, -97.68966)",12186158,4.4,3.8
3694,TXB62,78669,2024-02-27,92,"21024 W SH
SPICEWOOD, TX 78669",11405844,2.8,3.8
9510,Austin's Moontower Saloon,78748,2024-02-14,96,"10212 MANCHACA RD
AUSTIN, TX 78748
(30.16892, -97.82575)",10720314,4.5,3.5
1681,Thirsty Nickel,78701,2024-07-03,83,"325 E 6TH ST
AUSTIN, TX 78701
(30.26714, -97.7395)",10502087,3.9,3.2
18976,ABIA - Annie's Cafe & Bar,78719,2024-02-28,86,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.20476, -97.66733)",2802023,2.9,2.7
10680,Sunrise Mini Mart,78704,2024-08-02,91,"539 W OLTORF ST
AUSTIN, TX 78704
(30.24178, -97.75967)",10000688,2.8,2.1
20708,Glow Up Nutrition,78741,2024-08-02,97,"2030 E OLTORF ST
AUSTIN, TX 78741
(30.23041, -97.73181)",12393089,5,3.5
15736,Nightcap,78703,2024-04-25,83,"1401 W 6TH ST
AUSTIN, TX 78703
(30.27395, -97.76035)",11444601,4.4,4
16382,BC - Schlotzsky's,78738,2024-12-04,99,"3944 S FM 620 RD
AUSTIN, TX 78738
(30.31133, -97.94667)",12400679,4.3,2.9
4071,Crave Catering,78728,2024-01-16,96,"14611 BURNET RD
AUSTIN, TX 78728
(30.45048, -97.69508)",2801535,4.6,5
14570,Lo Lo Wine,78702,2024-02-15,89,"1504 E 6TH ST
AUSTIN, TX 78702
(30.26351, -97.7269)",12186489,4.7,4.1
15206,Common Interest,78757,2024-03-26,84,"8440 BURNET RD
AUSTIN, TX 78757
(30.36641, -97.72896)",12398187,4.4,3.7
4076,Rutland Market,78758,2024-01-09,83,"900 RUTLAND DR
AUSTIN, TX 78758
(30.36616, -97.69816)",10028448,4.2,5
20850,PF - Nothing Bundt Cakes,78660,2024-01-03,97,"18616 LIMESTONE COMMERCIAL DR
PFLUGERVILLE, TX 78660
(30.46585, -97.5974)",12395478,4.9,4.3
15317,PF - Freddy's Frozen Custard & Steakburgers,78660,2024-09-16,84,"2602 W PECAN ST
PFLUGERVILLE, TX 78660
(30.44881, -97.65471)",12396822,4,3
14972,"Mom's Convenience Store, Inc.",78737,2024-05-07,77,"10900 W US 290 HWY
AUSTIN, TX 78737
(30.22191, -97.95649)",10234230,3.7,1.7
22183,Cafe Corazon,78702,2024-02-09,95,"1701 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78702
(30.27944, -97.723)",12396643,4.6,4.3
7414,Salsa Limon Lupita,78705,2024-06-14,90,"3001 GUADALUPE ST
AUSTIN, TX 78705
(30.29649, -97.74169)",12396275,4.2,3.9
13023,Quad Food Mart,78704,2024-08-28,90,"628 E OLTORF ST
AUSTIN, TX 78704
(30.23697, -97.74902)",10752202,2,4
408,PF - In - N - Out #316,78660,2024-05-09,100,"1600 TOWN CENTER DR
PFLUGERVILLE, TX 78660
(30.46453, -97.59734)",12392425,4.5,4
2767,Paul Martin's American Grill,78758,2024-05-01,73,"3120 PALM WAY
AUSTIN, TX 78758
(30.40288, -97.72253)",11606623,4.3,3.9
14320,Sohip Blenders and Bowls,78756,2024-08-23,97,"4200 N LAMAR BLVD
AUSTIN, TX 78756
(30.31046, -97.74031)",12392500,4.5,4.2
6116,Boba T Bite LLC,78759,2024-01-25,86,"8650 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.43341, -97.77177)",12397681,4.7,4.3
1821,Spicy Szechuan,78731,2024-07-03,90,"3706 JEFFERSON ST
AUSTIN, TX 78731
(30.30933, -97.75125)",11804563,4,3.1
21218,P6,78701,2024-11-05,90,"111 E CESAR CHAVEZ ST
AUSTIN, TX 78701
(30.26296, -97.74394)",12186486,4.1,3.6
