Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
El Mercado North,78757,05/24/2022,84,"7414 BURNET RD
AUSTIN, TX 78757
(30.35015, -97.73512)",2800466,Routine Inspection
Cabo Bob's Burritos,78729,03/22/2023,89,"13429 N US 183 HWY
AUSTIN, TX 78729
(30.4505, -97.78536)",12392378,Routine Inspection
PF - Pflugerville High School,78660,05/02/2024,95,"1301 W PECAN ST
PFLUGERVILLE, TX 78660
(30.44505, -97.63255)",12392625,Routine Inspection
Levy at Q2 Stadium/East Main South 135,78758,02/06/2023,100,"10414 MC KALLA PL
AUSTIN, TX 78758
(30.38667, -97.71812)",12394464,Routine Inspection
OOB - PF - Domino's Pizza,78660,08/10/2022,95,"18701 LIMESTONE COMMERCIAL DR
PFLUGERVILLE, TX 78660
(30.46655, -97.59631)",12392404,Routine Inspection
RedFarm,78701,05/16/2024,89,"201 W 3RD ST
AUSTIN, TX 78701
(30.2657, -97.74533)",12399291,Routine Inspection
Happy Pocha Inc.,78753,11/29/2022,89,"9200 N LAMAR BLVD
AUSTIN, TX 78753
(30.36154, -97.69854)",12396101,Routine Inspection
PF-Typhoon TX Waterpark - Ray's Pizzeria,78660,05/15/2024,99,"18500 N SH
PFLUGERVILLE, TX 78660
(30.459688, -97.595109)",12393011,Routine Inspection
Amorcito Curazon,78660,09/30/2022,95,"3400 E HOWARD LN
PFLUGERVILLE, TX 78660",12394125,Routine Inspection
7-Eleven Convenience Store #24008,78751,05/24/2024,93,"5101 N LAMAR BLVD
AUSTIN, TX 78751
(30.31879, -97.7305)",10155839,Routine Inspection
Circle K #2741308,78759,10/11/2023,94,"8656 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.43358, -97.77103)",2803587,Routine Inspection
Flightpath Coffeehouse,78751,10/07/2024,95,"5011 DUVAL ST
AUSTIN, TX 78751
(30.31389, -97.72012)",2801741,Routine Inspection
Jiffy Sak,78721,10/02/2024,89,"6105 TECHNI CENTER DR
AUSTIN, TX 78721
(30.27583, -97.66913)",2803866,Routine Inspection
Walgreens #11271,78757,07/02/2024,98,"2525 W ANDERSON LN
AUSTIN, TX 78757
(30.35566, -97.73392)",10099096,Routine Inspection
"Beer Plant, The",78703,08/08/2022,93,"3110 WINDSOR RD
AUSTIN, TX 78703
(30.29656, -97.76789)",11547036,Routine Inspection
Meal Makers,78752,05/18/2022,97,"1300 E ANDERSON LN
AUSTIN, TX 78752
(30.33584, -97.68806)",12395439,Routine Inspection
Sommer Elementary,78717,09/20/2022,93,"16200 AVERY RANCH BLVD
AUSTIN, TX 78717
(30.50408, -97.75182)",10182044,Routine Inspection
"Bread Basket, The",78702,02/23/2024,88,"1514 HOLLY ST
AUSTIN, TX 78702
(30.25498, -97.73048)",2803741,Routine Inspection
E Braker Lane Food Mart,78753,12/08/2023,85,"1005 E BRAKER LN
AUSTIN, TX 78753
(30.37494, -97.67223)",11980377,Routine Inspection
PF - NLGX Media LLC,78660,09/19/2023,93,"113 E PECAN ST
PFLUGERVILLE, TX 78660
(30.43963, -97.6203)",12395714,Routine Inspection
goPuff,78705,01/20/2022,90,"2902 MEDICAL ARTS ST
AUSTIN, TX 78705
(30.28863, -97.7289)",12393635,Routine Inspection
Tres Amigos,78723,08/16/2022,83,"7535 E US 290 HWY
AUSTIN, TX 78723
(30.324, -97.67432)",11577358,Routine Inspection
Barton Valley Rehabilitation and Healthcare Center,78735,04/07/2023,94,"4501 DUDMAR DR
AUSTIN, TX 78735
(30.23512, -97.80513)",12394825,Routine Inspection
OOB - Applebee's #8002,78735,11/09/2022,92,"5010 W US 290 HWY
AUSTIN, TX 78735
(30.23493, -97.8212)",10870106,Routine Inspection
Un Taco Mas,78719,03/04/2024,76,"2901 SPIRIT OF TEXAS DR
AUSTIN, TX 78719
(30.21081, -97.66761)",12394324,Routine Inspection
PF - Golden Chick,78660,02/16/2022,93,"1103 W PECAN ST
PFLUGERVILLE, TX 78660
(30.44367, -97.62972)",12392543,Routine Inspection
Wendy's W-125/9854,78752,02/21/2024,100,"5760 AIRPORT BLVD
AUSTIN, TX 78752
(30.32112, -97.71408)",11119162,Routine Inspection
Habesha Restaurant & Bar,78723,03/20/2024,80,"1 2
AUSTIN, TX 78723",10864575,Routine Inspection
La Tapatia,78750,01/05/2023,81,"13450 N US 183 HWY
AUSTIN, TX 78750
(30.44825, -97.78987)",12186218,Routine Inspection
Chipotle Mexican Grill # 3660,78741,03/07/2024,97,"1700 E OLTORF ST
AUSTIN, TX 78741
(30.23382, -97.73828)",12393300,Routine Inspection
Milk + Tea,78727,10/26/2022,89,"1700 W PARMER LN
AUSTIN, TX 78727
(30.41327, -97.68966)",12186435,Routine Inspection
Roland Soul Food,78702,01/28/2022,70,"1311 CHESTNUT AVE
AUSTIN, TX 78702
(30.27618, -97.71637)",12392407,Routine Inspection
Chuy Panaderia,78757,03/22/2022,84,"8716 RESEARCH BLVD
AUSTIN, TX 78757
(30.36374, -97.71879)",10249266,Routine Inspection
Delectable Innovations,78744,05/03/2023,100,"3400 COMSOUTH DR
AUSTIN, TX 78744
(30.212, -97.71976)",12395961,Routine Inspection
La Ultima y Nos Vamos,78753,06/21/2022,94,"9710 N LAMAR BLVD
AUSTIN, TX 78753
(30.36728, -97.6952)",12394526,Routine Inspection
Home Slice Pizza,78704,01/05/2022,98,"1415 S CONGRESS AVE
AUSTIN, TX 78704
(30.24914, -97.74947)",2802846,Routine Inspection
PF - T- Jin China Diner,78660,11/01/2022,76,"18816 LIMESTONE COMMERCIAL DR
PFLUGERVILLE, TX 78660
(30.46913, -97.59581)",12392473,Routine Inspection
Bep Co Tham,78753,09/17/2024,88,"10901 N LAMAR BLVD
AUSTIN, TX 78753
(30.37841, -97.6879)",12398801,Routine Inspection
I Fratelli Pizza,78701,06/08/2023,84,"501 W 15TH ST
AUSTIN, TX 78701
(30.27824, -97.74432)",12396832,Routine Inspection
Starbuck's Coffee # 10757,78704,12/09/2022,90,"500 E BEN WHITE BLVD
AUSTIN, TX 78704
(30.22037, -97.75736)",10005994,Routine Inspection
Taqueria La Cascada,78758,10/08/2024,80,"1762 COLONY CREEK DR
AUSTIN, TX 78758
(30.36968, -97.7153)",12395720,Routine Inspection
Don Juan Mexican Restaurant,78741,03/30/2022,70,"2506 E BEN WHITE BLVD
AUSTIN, TX 78741
(30.21589, -97.73562)",10522382,Routine Inspection
JD's Market Decker,78724,07/13/2023,88,"6506 DECKER LN
AUSTIN, TX 78724
(30.29087, -97.62854)",11560433,Routine Inspection
Biryani N Grill,78717,04/13/2022,79,"13945 N US 183 HWY
AUSTIN, TX 78717
(30.47085, -97.79676)",12097400,Routine Inspection
Early Childhood Program @JCAA,78731,02/10/2022,100,"7300 HART LN
AUSTIN, TX 78731
(30.35748, -97.75466)",10104464,Routine Inspection
OOB - Accent Food Services,78741,07/25/2023,100,"2500 MONTOPOLIS DR
AUSTIN, TX 78741
(30.21953, -97.70898)",11560811,Routine Inspection
"Magellan International School, The",78757,09/26/2022,99,"7938 GREAT NORTHERN BLVD
AUSTIN, TX 78757
(30.36306, -97.74219)",10689607,Routine Inspection
Sigma Alpha Epsilon,78705,04/02/2024,90,"2414 PEARL ST
AUSTIN, TX 78705
(30.28906, -97.74666)",2800581,Routine Inspection
Bread Basket,78757,01/05/2022,83,"2213 JUSTIN LN
AUSTIN, TX 78757
(30.3448, -97.73636)",2804019,Routine Inspection
OOB - Cast Iron Cafe,78701,02/16/2022,97,"607 W 3RD ST
AUSTIN, TX 78701
(30.26697, -97.74992)",12181542,Routine Inspection
Family Dollar Store #26767,78729,06/29/2022,78,"9308 ANDERSON MILL RD
AUSTIN, TX 78729
(30.45112, -97.7843)",10003499,Routine Inspection
McDonalds #25451,78753,09/24/2024,94,"13611 1
SVRD NB AUSTIN, TX 78753",2801985,Routine Inspection
Hillside Farmacy,78702,06/02/2023,79,"1209 E 11TH ST
AUSTIN, TX 78702
(30.26831, -97.72684)",10723268,Routine Inspection
New One Taco,78756,05/16/2024,93,"5425 BURNET RD
AUSTIN, TX 78756
(30.32899, -97.73961)",12398387,Routine Inspection
Rabbit Food Grocery,78703,01/04/2023,97,"2425 EXPOSITION BLVD
AUSTIN, TX 78703
(30.29732, -97.76723)",11873643,Routine Inspection
Chipotle Mexican Grill #3527,78749,04/18/2022,100,"5000 W SLAUGHTER LN
AUSTIN, TX 78749
(30.19997, -97.86362)",12393026,Routine Inspection
"Cups and Cones, LLC",78732,09/08/2022,95,"2900 N QUINLAN PARK RD
AUSTIN, TX 78732
(30.36946, -97.89246)",10046868,Routine Inspection
RA Sushi,78701,09/15/2023,89,"117 W 4TH ST
AUSTIN, TX 78701
(30.26652, -97.74471)",11426421,Routine Inspection
ABIA - Barton Springs East/Ruta Maya,78719,08/29/2023,98,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.20476, -97.66733)",11864782,Routine Inspection
Highland Park Elementary,78731,08/25/2022,95,"4900 FAIRVIEW DR
AUSTIN, TX 78731
(30.33098, -97.76007)",2800351,Routine Inspection
Restaurant El Rinconcito Chapin,78752,06/29/2022,89,"6539 N LAMAR BLVD
AUSTIN, TX 78752
(30.33383, -97.72138)",11795263,Routine Inspection
Torchy's Tacos,78701,06/13/2023,95,"110 SAN ANTONIO ST
AUSTIN, TX 78701
(30.26527, -97.74889)",12074197,Routine Inspection
LW - Mangieri's Pizza,78734,06/27/2024,84,"2133 LOHMANS CROSSING RD
LAKEWAY, TX 78734
(30.34193, -97.96963)",10181125,Routine Inspection
Texas Roadhouse,78660,12/18/2023,96,"15415 N IH
SVRD NB AUSTIN, TX 78660",10039858,Routine Inspection
Jimmy Johns,78701,02/21/2023,90,"515 CONGRESS AVE
AUSTIN, TX 78701
(30.26725, -97.74312)",2802960,Routine Inspection
Industry,78702,06/01/2023,90,"1211 E 5TH ST
AUSTIN, TX 78702
(30.26343, -97.73065)",12397677,Routine Inspection
J W Marriott Austin - Corner,78701,09/20/2024,86,"110 E 2ND ST
AUSTIN, TX 78701
(30.2642, -97.74387)",11274894,Routine Inspection
LW - Spicebox Kitchen,78734,01/22/2024,95,"1501 N FM 620 RD
UNIT C LAKEWAY, TX 78734
(30.37894, -97.94536)",12397925,Routine Inspection
Stonebridge Health Rehab,78736,07/25/2022,100,"11127 CIRCLE DR
AUSTIN, TX 78736
(30.22766, -97.95164)",12392446,Routine Inspection
Austin Montessori School,78735,05/01/2024,98,"5677 OAK BLVD
AUSTIN, TX 78735
(30.23643, -97.84838)",10801679,Routine Inspection
Dollar General Store # 12797,78723,12/05/2023,88,"5000 SPRINGDALE RD
AUSTIN, TX 78723
(30.29333, -97.67799)",10717826,Routine Inspection
Wal-Mart #2133-Milk/ Ice Cream,78749,05/26/2023,99,"5017 W US 290 HWY
EB AUSTIN, TX 78749
(30.23518, -97.82178)",10002963,Routine Inspection
Titaya's Thai Cuisine,78751,08/02/2022,87,"5501 N LAMAR BLVD
AUSTIN, TX 78751
(30.32318, -97.72762)",2803076,Routine Inspection
Hilton Garden Inn Austin Airport,78741,06/13/2023,92,"7610 JOHN GLENN WAY
AUSTIN, TX 78741
(30.22167, -97.68882)",11712723,Routine Inspection
